Núm.,Num. Metal label,Id,Region,Localidad,N,W,Altitud (msnm),Con Bellota (2020),Colecta (2020),Altura (m),DAP Total (m),D. Basal (m),Cob 1 (m),Cob 2 (m),Observaciones ,DBH1,DBH2,DBH3,DBH4
1,5,LB1,Pacífico,La Burrera,23° 29. 958,110° 03. 765,447,SI,NO,12.00,2.20,2.20,14.10,15.20,,,,,
2,4,LB2,Pacífico,La Burrera,23° 29. 912,110° 03. 753,450,NO,NO,17.00,3.90,3.00,21.60,23.90,,,,,
3,3,LB3,Pacífico,La Burrera,23° 29. 865,110° 03. 714,456,NO,NO,10.20,2.40,2.00,11.20,14.70,,,,,
4,1,LB4,Pacífico,La Burrera,23° 29. 856,110° 03. 706,451,NO,NO,10.20,1.50,1.70,8.40,6.10,,,,,
5,2,LB5,Pacífico,La Burrera,23° 29. 859,110° 03. 672,448,SI,SI,10.20,2.05,1.75,12.25,9.60,Sobre el margen del arroyo sin prescnecia de agua/ 2 DAP´S: 1= .90/ 2= 1.15,0.90,1.15,,
6,10,LB6,Pacífico,La Burrera,23° 29. 998,110° 03. 804,454,SI,NO,13.60,6.65,3.40,18.60,20.80,4 DAP´S: 1= 1.65/ 2=1.90 / 3=1.45/ 4=1.65,1.65,1.90,1.45,1.65
7,9,LB7,Pacífico,La Burrera,23° 30. 014,110° 03. 815,460,SI,SI,10.20,2.59,2.70,18.50,19.20,,,,,
8,8,LB8,Pacífico,La Burrera,23° 30. 017,110° 03. 833,450,NO,NO,11.90,1.40,1.60,13.80,10.80,,,,,
9,6,LB9,Pacífico,La Burrera,23° 29. 986,110° 03. 779,448,NO,NO,10.20,1.47,1.90,10.72,9.90,,,,,
10,7,LB10,Pacífico,La Burrera,23° 29. 936,110° 03. 785,450,SI,SI,12.00,1.95,2.24,11.90,14.10,,,,,
11,14,SDO11,Pacífico,Santo Domingo,23° 25. 867,110° 02. 029,400,NO,NO,8.50,2.94,2.40,16.40,11.60, 2 DAP´S: 1= 1.47/ 2= 1.47,1.47,1.47,,
12,13,SDO12,Pacífico,Santo Domingo,23° 25. 849,110° 01. 985,407,NO,NO,11.00,1.95,2.04,15.40,13.10,,,,,
13,12,SDO13,Pacífico,Santo Domingo,23° 25. 844,110° 01. 976,410,SI,SI,13.60,3.07,3.10,15.80,17.10,"Bellota verdes, muy pocas ",,,,
14,11,SDO14,Pacífico,Santo Domingo,23° 25. 839,110° 01. 951,410,NO,NO,13.60,2.60,2.80,20.20,15.90,Sin bellota,,,,
15,81,LM15,Norte,Las Matancitas,24° 00. 173,110° 09. 488,522,SI,SI,8.50,3.65,3.89,17.10,11.74,"Sin base, se observan solo 3 troncos juntos= 2 DAP´S: 1= 1.75/ 2= 1.90 y 2 DB´S: 1= 1.85/ 2=2.04",1.75,1.90,,
16,80,LM16,Norte,Las Matancitas,24° 00. 183,110° 09. 485,524,SI,SI,11.90,2.20,2.62,15.50,16.29,,,,,
17,79,LM17,Norte,Las Matancitas,24° 00. 177,110° 09. 503,525,SI,SI,6.80,3.60,2.72,13.96,10.90,2 DAP´S: 1= 2.10/ 2= 1.50,2.10,1.50,,
18,68,LM18,Norte,Las Matancitas,24° 00. 166,110° 09. 506,532,SI,SI,5.10,1.27,1.45,7.90,11.05,,,,,
19,67,LM19,Norte,Las Matancitas,24° 00. 161,110° 09. 512,525,NO,NO,10.20,1.48,1.54,11.80,11.40,,,,,
20,62,LM20,Norte,Las Matancitas,24° 00. 120,110° 09. 657,524,NO,NO,10.00,2.48,2.51,11.30,10.20,,,,,
21,63,LM21,Norte,Las Matancitas,24° 00. 122,110° 09. 598,520,SI,SI,0.00,0.00,0.00,0.00,0.00,Pegado a roca/ muy peligroso para medir /Altitud tomada junto a roca del árbol,,,,
22,64,LM22,Norte,Las Matancitas,24° 00. 147,110° 09. 547,524,SI,SI,10.20,1.46,1.93,16.10,13.60,,,,,
23,65,LM23,Norte,Las Matancitas,24° 00. 160,110° 09. 540,540,SI,SI,11.90,2.02,2.23,10.40,7.30,,,,,
24,66,LM24,Norte,Las Matancitas,24° 00. 162,110° 09. 534,527,SI,SI,12.00,1.56,1.60,6.90,8.50,,,,,
25,69,LM25,Norte,Las Matancitas,24° 00. 166,110° 09. 533,530,NO,NO,8.50,2.05,2.20,14.70,15.40,,,,,
26,70,LM26,Norte,Las Matancitas,24° 00. 210,110° 09. 505,527,SI,SI,10.90,1.30,2.63,11.46,14.22,,,,,
27,71,LM27,Norte,Las Matancitas,24° 00. 211,110° 09. 502,527,NO,NO,10.20,2.07,1.86,12.47,8.44,2 DAP´S: 1= 1.12/ 2= 0.95,1.12,0.95,,
28,72,LM28,Norte,Las Matancitas,24° 00. 196,110° 09. 519,531,SI,SI,8.50,2.57,2.10,16.60,14.30,,,,,
