"","Population","Size.Variable","Soil.Metric","Slope","P.value","p_bonf_corrected","Significance.reg","Significance.bonf","p_holm_corrected","p_hoch_corrected","p_fdr_corrected","Significance.holm","Significance.hoch","Significance.fdr"
"1","LM","SCA","Clay 0-5",-0.112484089169033,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"2","LM","SCA","Clay 100-200",-0.114284511987885,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"3","LM","SCA","Silt 0-5",-0.24575119419217,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"4","LM","SCA","Silt 100-200",-0.202657554117772,0.022,1,"Y","N",1,0.994,0.0678504672897196,"N","N","N"
"5","LM","SCA","Sand 0-5",0.10241586369352,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"6","LM","SCA","Sand 100-200",0.0921075653238586,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"7","LM","SCA","Ph 0-5",0.152121378370725,0.834,1,"N","N",1,0.994,0.913180327868853,"N","N","N"
"8","LM","SCA","Ph 100-200",1.09090568479528,0.032,1,"Y","N",1,0.994,0.0872727272727273,"N","N","N"
"9","LM","SCA","Volume of water content -10 kpa 0-5",0.673628554920807,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"10","LM","SCA","Volume of water content -10 kpa 100-200",-0.170512171735482,0.454,1,"N","N",1,0.994,0.626861924686193,"N","N","N"
"11","LM","SCA","Volume of water content -33 kpa 0-5",-0.535362459155325,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"12","LM","SCA","Volume of water content -33 kpa 100-200",-0.139142839275764,0.3,1,"N","N",1,0.994,0.464788732394366,"N","N","N"
"13","LM","SCA","Volume of water content -1500 kpa 0-5",0.272107859171498,0.114,1,"N","N",1,0.994,0.216206896551724,"N","N","N"
"14","LM","SCA","Volume of water content -1500 kpa 100-200",-0.292234473545819,0.028,1,"Y","N",1,0.994,0.0796551724137931,"N","N","N"
"15","LM","SCA","Nitrogen 0-5",0.255801535944569,0.036,1,"Y","N",1,0.994,0.09504,"N","N","N"
"16","LM","SCA","Nitrogen 100-200",0.344884409347223,0.092,1,"N","N",1,0.994,0.186867469879518,"N","N","N"
"17","LM","SCA","Soil Organic Carbon 0-5",0.00016869358789451,0.986,1,"N","N",1,0.994,0.992012195121951,"N","N","N"
"18","LM","SCA","Soil Organic Carbon 100-200",-0.185858288446818,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"19","LM","SCA","Sand Available Water 0-5",-0.422766473899482,0,0,"Y","Y",0,0,0,"Y","Y","Y"
"20","LM","SCA","Sand Available Water 100-200",0.099561292788532,0.326,1,"N","N",1,0.994,0.49348623853211,"N","N","N"
"21","LM","SCA","Clay/Loam Available Water 0-5",0.240567237273729,0.088,1,"N","N",1,0.994,0.1815,"N","N","N"
"22","LM","SCA","Clay/Loam Available Water 100-200",0.149313986211536,0.132,1,"N","N",1,0.994,0.242,"N","N","N"
"23","LM","LCA","Clay 0-5",-0.0738601419331731,0.024,1,"Y","N",1,0.994,0.0726605504587156,"N","N","N"
"24","LM","LCA","Clay 100-200",-0.0817157466516311,0.006,1,"Y","N",1,0.994,0.0271232876712329,"N","N","Y"
"25","LM","LCA","Silt 0-5",-0.195319026039474,0.056,1,"N","N",1,0.994,0.131063829787234,"N","N","N"
"26","LM","LCA","Silt 100-200",-0.17889247028401,0.108,1,"N","N",1,0.994,0.206011560693642,"N","N","N"
"27","LM","LCA","Sand 0-5",0.0696292889681512,0.012,1,"Y","N",1,0.994,0.044,"N","N","Y"
"28","LM","LCA","Sand 100-200",0.0685415663347674,0.004,1,"Y","N",1,0.994,0.0212903225806452,"N","N","Y"
"29","LM","LCA","Ph 0-5",-0.0463012214661664,0.912,1,"N","N",1,0.994,0.965750798722045,"N","N","N"
